Trial,time,PositionX,PositionY,PositionZ,frameDiff,
1,8.159997,1.148755,-0.6087878,10,0.3282583,
1,8.179997,1.074643,-0.4870301,10,,
1,8.199998,0.9793538,-0.301747,10,0.4352521,
1,8.219998,0.8787718,-0.1111698,10,0.4455927,
1,8.239999,0.8152459,0.02117515,10,0.3934542,
1,8.259999,0.7252513,0.2276337,10,0.3598609,
1,8.28,0.6670191,0.3705662,10,0.3123783,
1,8.3,0.5823183,0.5770248,10,0.2502127,
1,8.320001,0.5240873,0.7093698,10,0.2462619,
1,8.340001,0.4393865,0.8893597,10,,
1,8.360002,0.3599794,1.00053,10,0.1011377,
1,8.380002,0.2223401,1.164637,10,0.08370291,
1,8.400002,0.1217581,1.265219,10,,
1,8.420003,-0.0423498,1.413446,10,0.1490751,
1,8.440003,-0.1641079,1.492853,10,0.1366171,
1,8.460004,-0.3282152,1.593435,10,0.1871642,
1,8.480004,-0.4499733,1.651667,10,0.1837648,
1,8.500005,-0.6458436,1.725781,10,0.1734076,
1,8.520005,-0.7781898,1.762838,10,0.2154911,
1,8.540006,-0.9687663,1.7946,10,,
1,8.560006,-1.095818,1.805188,10,0.1812302,
1,8.580007,-1.296982,1.810482,10,,
1,8.600007,-1.434621,1.810482,10,0.2076083,
1,8.620008,-1.588142,1.810482,10,,
1,8.640008,-1.805187,1.810482,10,0.1993447,
1,8.660008,-2.027527,1.799894,10,0.2393955,
1,8.680009,-2.165167,1.778719,10,,
1,8.700009,-2.366332,1.75225,10,0.2273878,
1,8.72001,-2.509264,1.725781,10,,
1,8.74001,-2.636315,1.699312,10,0.2514979,
1,8.760011,-2.826892,1.646374,10,0.2628311,
1,8.780011,-2.991,1.57226,10,0.288452,
1,8.800012,-3.096877,1.519322,10,,
1,8.820012,-3.245104,1.439915,10,0.259613,
1,8.840013,-3.329804,1.371096,10,0.2360942,
1,8.860013,-3.440974,1.270514,10,0.2133995,
1,8.880013,-3.499206,1.1964,10,0.1671539,
1,8.900014,-3.562732,1.08523,10,0.1169442,
1,8.920014,-3.594495,1.005823,10,,
1,8.940015,-3.605082,0.8893597,10,0.05701594,
1,8.960015,-3.5892,0.8099526,10,,
1,8.980016,-3.525675,0.6881946,10,0.07869848,
1,9.000016,-3.456856,0.6140816,10,0.1227888,
1,9.020017,-3.319217,0.4976177,10,0.1490749,
1,9.040017,-3.186871,0.4023296,10,,
1,9.060018,-2.959238,0.2593964,10,0.146036,
