Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,trialOffset,levelOffset
5,15.98018,4.054573,-0.5460739,10,0.2901374,3,10,5
5,16.00018,4.077319,-0.6143335,10,0,3,10,5
5,16.02018,4.100066,-0.7622284,10,0.3167187,3,10,5
5,16.04018,4.122812,-0.8418649,10,0.3341548,3,10,5
5,16.06018,4.14556,-1.001136,10,0.3238954,3,10,5
5,16.08018,4.156933,-1.069396,10,0.3114104,3,10,5
5,16.10018,4.202426,-1.205914,10,0.2635101,3,10,5
5,16.12018,4.213799,-1.274174,10,0.1852804,3,10,5
5,16.14018,4.282038,-1.444822,10,0.166076,3,10,5
5,16.16018,4.338905,-1.558589,10,0.2129816,3,10,5
5,16.18018,4.407144,-1.672354,10,0.2968841,3,10,5
5,16.20018,4.429891,-1.729237,10,0.3510177,3,10,5
5,16.22018,4.464012,-1.774743,10,0,3,10,5
5,16.24018,4.475385,-1.786119,10,0,3,10,5
5,16.26018,4.498131,-1.797496,10,0,3,10,5
5,16.28018,4.509504,-1.808873,10,0,3,10,5
5,16.30018,4.520878,-1.808873,10,0,3,10,5
5,16.32018,4.520878,-1.808873,10,0,3,10,5
5,16.34018,4.520878,-1.808873,10,0,3,10,5
5,16.36018,4.532251,-1.808873,10,0,3,10,5
5,16.38018,4.554997,-1.808873,10,0.4212446,3,10,5
5,16.40018,4.577744,-1.808873,10,0,3,10,5
5,16.42019,4.623236,-1.808873,10,0,3,10,5
5,16.44019,4.645984,-1.808873,10,0,3,10,5
5,16.46019,4.70285,-1.797496,10,0,3,10,5
5,16.48019,4.748343,-1.774743,10,0.3796583,3,10,5
5,16.50019,4.873449,-1.706484,10,0,3,10,5
5,16.52019,5.009929,-1.649601,10,0.271957,3,10,5
5,16.54019,5.180528,-1.535835,10,0.2050954,3,10,5
5,16.56019,5.328381,-1.433446,10,0.1666389,3,10,5
5,16.58019,5.521726,-1.285551,10,0.1418317,3,10,5
5,16.60019,5.612712,-1.205914,10,0.1284599,3,10,5
5,16.62019,5.783311,-1.069396,10,0.1214675,3,10,5
5,16.64019,5.862924,-1.012514,10,0,3,10,5
5,16.66019,6.02215,-0.8759949,10,0.1660116,3,10,5
5,16.68019,6.113136,-0.8077353,10,0.1363889,3,10,5
5,16.70019,6.260989,-0.6939691,10,0.1461041,3,10,5
5,16.72019,6.363348,-0.6257096,10,0.1457468,3,10,5
5,16.74019,6.477081,-0.5460739,10,0.1443836,3,10,5
5,16.76019,6.545321,-0.5005682,10,0.1468202,3,10,5
